Workstream,Year,Worktype,Series,FTE Multiplier,FTEs,Selected Returns,Workstream(2),Filter By Year,Filter By Worktype,Filter By Series
FLD_EXAM,Y-2011,BRTF1042,S-0260,0.000004,0.0000656145406184196,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-0260
FLD_EXAM,Y-2011,BRTF1042,S-0301,0.000408,0.0066926831430788,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-0301
FLD_EXAM,Y-2011,BRTF1042,S-0303,0.002033,0.0333485902693118,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-0303
FLD_EXAM,Y-2011,BRTF1042,S-0304,0.000024,0.000393687243710518,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-0304
FLD_EXAM,Y-2011,BRTF1042,S-0305,0.000086,0.00141071262329602,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-0305
FLD_EXAM,Y-2011,BRTF1042,S-0313,0.000008,0.000131229081236839,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-0313
FLD_EXAM,Y-2011,BRTF1042,S-0318,0.014939,0.245053905574643,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-0318
FLD_EXAM,Y-2011,BRTF1042,S-0322,0.000037,0.000606934500720381,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-0322
FLD_EXAM,Y-2011,BRTF1042,S-0326,0.000233,0.00382204699102294,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-0326
FLD_EXAM,Y-2011,BRTF1042,S-0335,0.000237,0.00388766153164136,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-0335
FLD_EXAM,Y-2011,BRTF1042,S-0340,0.002139,0.0350873755956999,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-0340
FLD_EXAM,Y-2011,BRTF1042,S-0343,0.001735,0.0284603069932395,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-0343
FLD_EXAM,Y-2011,BRTF1042,S-0344,0.001474,0.0241789582178876,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-0344
FLD_EXAM,Y-2011,BRTF1042,S-0356,0.000049,0.00080377812257564,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-0356
FLD_EXAM,Y-2011,BRTF1042,S-0399,0.000249,0.00408450515349662,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-0399
FLD_EXAM,Y-2011,BRTF1042,S-0501,0.0016,0.0262458162473678,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-0501
FLD_EXAM,Y-2011,BRTF1042,S-0503,0.00247,0.0405169788318741,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-0503
FLD_EXAM,Y-2011,BRTF1042,S-0512,0.098141,1.60986915770808,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-0512
FLD_EXAM,Y-2011,BRTF1042,S-0560,0.00002,0.000328072703092098,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-0560
FLD_EXAM,Y-2011,BRTF1042,S-0592,0.003234,0.0530493560899922,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-0592
FLD_EXAM,Y-2011,BRTF1042,S-0599,0.000351,0.00575767593926632,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-0599
FLD_EXAM,Y-2011,BRTF1042,S-0905,0.000029,0.000475705419483542,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-0905
FLD_EXAM,Y-2011,BRTF1042,S-0962,0.000012,0.000196843621855259,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-0962
FLD_EXAM,Y-2011,BRTF1042,S-0986,0.000004,0.0000656145406184196,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-0986
FLD_EXAM,Y-2011,BRTF1042,S-0987,0.000016,0.000262458162473678,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-0987
FLD_EXAM,Y-2011,BRTF1042,S-1035,0.000016,0.000262458162473678,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-1035
FLD_EXAM,Y-2011,BRTF1042,S-1169,0.000065,0.00106623628504932,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-1169
FLD_EXAM,Y-2011,BRTF1042,S-1515,0.000012,0.000196843621855259,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-1515
FLD_EXAM,Y-2011,BRTF1042,S-1802,0.000004,0.0000656145406184196,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-1802
FLD_EXAM,Y-2011,BRTF1042,S-2210,0.000131,0.00214887620525324,16.4036351546049,FLD_EXAM,Y-2011,BRTF1042,S-2210
FLD_EXAM,Y-2011,BRTF1065,S-0080,0.000001,0,0,FLD_EXAM,Y-2011,BRTF1065,S-0080
FLD_EXAM,Y-2011,BRTF1065,S-0201,0,0,0,FLD_EXAM,Y-2011,BRTF1065,S-0201
FLD_EXAM,Y-2011,BRTF1065,S-0203,0,0,0,FLD_EXAM,Y-2011,BRTF1065,S-0203
FLD_EXAM,Y-2011,BRTF1065,S-0260,0,0,0,FLD_EXAM,Y-2011,BRTF1065,S-0260
FLD_EXAM,Y-2011,BRTF1065,S-0301,0.000042,0,0,FLD_EXAM,Y-2011,BRTF1065,S-0301
FLD_EXAM,Y-2011,BRTF1065,S-0303,0.000207,0,0,FLD_EXAM,Y-2011,BRTF1065,S-0303
FLD_EXAM,Y-2011,BRTF1065,S-0304,0.000002,0,0,FLD_EXAM,Y-2011,BRTF1065,S-0304
FLD_EXAM,Y-2011,BRTF1065,S-0305,0.000009,0,0,FLD_EXAM,Y-2011,BRTF1065,S-0305
FLD_EXAM,Y-2011,BRTF1065,S-0313,0.000001,0,0,FLD_EXAM,Y-2011,BRTF1065,S-0313
FLD_EXAM,Y-2011,BRTF1065,S-0318,0.001522,0,0,FLD_EXAM,Y-2011,BRTF1065,S-0318
FLD_EXAM,Y-2011,BRTF1065,S-0322,0.000004,0,0,FLD_EXAM,Y-2011,BRTF1065,S-0322
FLD_EXAM,Y-2011,BRTF1065,S-0326,0.000024,0,0,FLD_EXAM,Y-2011,BRTF1065,S-0326
FLD_EXAM,Y-2011,BRTF1065,S-0335,0.000024,0,0,FLD_EXAM,Y-2011,BRTF1065,S-0335
