Workstream,Year,Series,FTEs,Filter By Workstream,Filter By Year,Filter By Series
FLD_EXAM,Y-2012,S-0905,0.250590461469236,FLD_EXAM,Y-2012,S-0905
FLD_EXAM,Y-2012,S-0962,0.10738777360229,FLD_EXAM,Y-2012,S-0962
FLD_EXAM,Y-2012,S-0986,0.0355241635020305,FLD_EXAM,Y-2012,S-0986
FLD_EXAM,Y-2012,S-0987,0.143202687866946,FLD_EXAM,Y-2012,S-0987
FLD_EXAM,Y-2012,S-1035,0.143202687866946,FLD_EXAM,Y-2012,S-1035
FLD_EXAM,Y-2012,S-1169,0.562886435709699,FLD_EXAM,Y-2012,S-1169
FLD_EXAM,Y-2012,S-1515,0.10738777360229,FLD_EXAM,Y-2012,S-1515
FLD_EXAM,Y-2012,S-1802,0.0355241635020305,FLD_EXAM,Y-2012,S-1802
FLD_EXAM,Y-2012,S-2210,1.12046026290523,FLD_EXAM,Y-2012,S-2210
FLD_EXAM,Y-2013,S-0080,0.0967006548216057,FLD_EXAM,Y-2013,S-0080
FLD_EXAM,Y-2013,S-0201,0.0535588385911744,FLD_EXAM,Y-2013,S-0201
FLD_EXAM,Y-2013,S-0203,0.0535588385911744,FLD_EXAM,Y-2013,S-0203
FLD_EXAM,Y-2013,S-0260,0.0535588385911744,FLD_EXAM,Y-2013,S-0260
FLD_EXAM,Y-2013,S-0301,4.81164863542442,FLD_EXAM,Y-2013,S-0301
FLD_EXAM,Y-2013,S-0303,29.5777964948797,FLD_EXAM,Y-2013,S-0303
FLD_EXAM,Y-2013,S-0304,0.285991569495552,FLD_EXAM,Y-2013,S-0304
FLD_EXAM,Y-2013,S-0305,1.01505216919665,FLD_EXAM,Y-2013,S-0305
FLD_EXAM,Y-2013,S-0313,0.0967006548216057,FLD_EXAM,Y-2013,S-0313
FLD_EXAM,Y-2013,S-0318,217.402148859166,FLD_EXAM,Y-2013,S-0318
FLD_EXAM,Y-2013,S-0322,0.434868756809443,FLD_EXAM,Y-2013,S-0322
FLD_EXAM,Y-2013,S-0326,2.74665190126344,FLD_EXAM,Y-2013,S-0326
FLD_EXAM,Y-2013,S-0335,2.78985660657516,FLD_EXAM,Y-2013,S-0335
FLD_EXAM,Y-2013,S-0340,31.1342278562887,FLD_EXAM,Y-2013,S-0340
