Employee Count,Year,BOD,Filter By Year," Filter By BOD"
9271,2012,LB_I,2012,LB_I
8709.3067781491,2013,LB_I,2013,LB_I
8188.10500284727,2014,LB_I,2014,LB_I
7695.961733573,2015,LB_I,2015,LB_I
7231.74607473579,2016,LB_I,2016,LB_I
30,2017,LB_I,2017,LB_I
25.0636647169515,2018,LB_I,2018,LB_I
21.5934177163475,2019,LB_I,2019,LB_I
19.011691432576,2020,LB_I,2020,LB_I
17.0267264058847,2021,LB_I,2021,LB_I
