ACS,1,TDA,2011,0000,2.6476182382143427E-5
ACS,1,TDA,2011,0301,4.504110453935999E-5
ACS,1,TDA,2011,0303,4.141405711994463E-5
ACS,1,TDA,2011,0340,7.183323181866503E-5
ACS,1,TDA,2011,0343,2.29123239421604E-5
ACS,1,TDA,2011,0344,7.128980659554704E-5
ACS,1,TDA,2011,0501,3.093732433006545E-5
ACS,1,TDA,2011,0592,6.27340187804105E-5
ACS,1,TDA,2011,0962,0.0038685493799077487
ACS,1,TDI,2011,0000,2.6476182382143434E-5
ACS,1,TDI,2011,0301,4.5041104539359995E-5
ACS,1,TDI,2011,0303,4.141405711994464E-5
ACS,1,TDI,2011,0340,7.183323181866504E-5
ACS,1,TDI,2011,0343,2.2912323942160402E-5
ACS,1,TDI,2011,0344,7.128980659554706E-5
ACS,1,TDI,2011,0501,3.0937324330065455E-5
ACS,1,TDI,2011,0592,6.27340187804105E-5
ACS,1,TDI,2011,0962,0.003868549379907749
ACS,1,TDA,2012,0000,2.6476182382143427E-5
ACS,1,TDA,2012,0301,4.504110453935999E-5
ACS,1,TDA,2012,0303,4.141405711994463E-5
ACS,1,TDA,2012,0340,7.183323181866503E-5
ACS,1,TDA,2012,0343,2.29123239421604E-5
ACS,1,TDA,2012,0344,7.128980659554704E-5
ACS,1,TDA,2012,0501,3.093732433006545E-5
ACS,1,TDA,2012,0592,6.27340187804105E-5
ACS,1,TDA,2012,0962,0.0038685493799077487
ACS,1,TDI,2012,0000,2.6476182382143434E-5
ACS,1,TDI,2012,0301,4.5041104539359995E-5
ACS,1,TDI,2012,0303,4.141405711994464E-5
ACS,1,TDI,2012,0340,7.183323181866504E-5
ACS,1,TDI,2012,0343,2.2912323942160402E-5
ACS,1,TDI,2012,0344,7.128980659554706E-5
ACS,1,TDI,2012,0501,3.0937324330065455E-5
ACS,1,TDI,2012,0592,6.27340187804105E-5
ACS,1,TDI,2012,0962,0.003868549379907749
ACS,1,TDA,2013,0000,2.6476182382143427E-5
ACS,1,TDA,2013,0301,4.504110453935999E-5
ACS,1,TDA,2013,0303,4.141405711994463E-5
ACS,1,TDA,2013,0340,7.183323181866503E-5
ACS,1,TDA,2013,0343,2.29123239421604E-5
ACS,1,TDA,2013,0344,7.128980659554704E-5
ACS,1,TDA,2013,0501,3.093732433006545E-5
ACS,1,TDA,2013,0592,6.27340187804105E-5
ACS,1,TDA,2013,0962,0.0038685493799077487
ACS,1,TDI,2013,0000,2.6476182382143434E-5
ACS,1,TDI,2013,0301,4.5041104539359995E-5
ACS,1,TDI,2013,0303,4.141405711994464E-5
ACS,1,TDI,2013,0340,7.183323181866504E-5
ACS,1,TDI,2013,0343,2.2912323942160402E-5
ACS,1,TDI,2013,0344,7.128980659554706E-5
ACS,1,TDI,2013,0501,3.0937324330065455E-5
ACS,1,TDI,2013,0592,6.27340187804105E-5
ACS,1,TDI,2013,0962,0.003868549379907749
ACS,1,TDA,2014,0000,2.6476182382143427E-5
ACS,1,TDA,2014,0301,4.504110453935999E-5
ACS,1,TDA,2014,0303,4.141405711994463E-5
ACS,1,TDA,2014,0340,7.183323181866503E-5
ACS,1,TDA,2014,0343,2.29123239421604E-5
ACS,1,TDA,2014,0344,7.128980659554704E-5
ACS,1,TDA,2014,0501,3.093732433006545E-5
